age,income,credit_score,loan_amount,debt_ratio,gender,employment_years,default
69,60756,659,32717,0.52,Female,4,0
62,59982,710,14759,0.72,Male,3,0
55,40635,713,16497,0.28,Female,18,0
38,43665,735,20169,0.26,Female,10,0
37,64364,674,23790,0.34,Male,4,0
44,72410,669,18530,0.37,Male,15,0
23,56895,706,18120,0.32,Female,8,0
52,56144,670,28658,0.52,Male,24,0
55,73969,603,1827,0.12,Female,24,0
58,48419,723,15389,0.18,Male,5,1
33,85905,588,13399,0.76,Female,7,1
67,39820,700,16758,0.47,Female,0,0
45,75727,806,31143,0.42,Male,0,0
29,68087,706,14539,0.11,Female,22,0
24,96151,645,19246,0.37,Female,27,0
34,43182,657,24381,0.84,Male,4,0
57,24989,698,13729,0.41,Male,17,0
54,78741,678,1700,0.97,Male,3,1
31,37929,717,-467,0.45,Male,15,0
61,69236,752,30656,0.52,Male,19,0
23,77732,745,23627,0.82,Male,21,0
48,65696,622,17378,0.98,Male,23,0
49,63482,680,17262,0.43,Male,28,1
29,66014,704,13198,0.21,Female,18,0
23,72561,755,21290,0.57,Female,27,0
45,68806,697,25784,0.63,Male,27,0
54,41751,645,12837,0.96,Male,29,0
32,87374,701,22067,0.47,Female,6,0
62,60766,770,13091,0.18,Male,14,0
29,67775,667,19268,0.69,Female,17,0
35,70664,644,15510,0.12,Female,8,1
60,77338,678,27273,0.48,Male,27,0
45,75781,647,20060,0.47,Female,6,0
25,61976,721,10790,0.33,Female,0,0
31,61011,647,19337,0.97,Male,12,0
54,66129,744,27897,0.46,Female,3,0
44,76500,704,10336,0.91,Female,1,0
35,43310,714,17799,0.56,Female,9,0
58,69661,714,16818,0.84,Female,4,1
28,46705,722,21679,0.51,Female,24,0
25,87768,664,18300,0.99,Male,2,0
68,65509,631,22929,0.68,Male,4,0
46,53759,656,14269,0.24,Female,10,0
38,66430,726,18615,0.11,Female,25,0
26,60138,591,18355,0.94,Male,17,0
57,57597,580,34323,0.72,Male,19,0
68,32861,691,22502,0.2,Male,1,0
33,44637,722,26756,0.77,Female,23,0
48,57893,728,34730,0.3,Male,22,0
25,34674,632,22013,0.83,Male,15,1
33,51192,621,18165,0.65,Male,22,0
37,52501,645,12102,0.21,Female,22,0
60,48308,660,10135,0.16,Female,24,0
65,71585,663,2734,0.52,Male,17,1
52,46797,686,27077,0.94,Female,5,0
49,61326,750,23660,0.61,Male,14,0
23,54702,676,18136,0.78,Male,11,0
60,58218,726,17933,0.52,Female,28,0
54,84096,712,11996,0.45,Female,29,0
60,62695,644,23964,0.84,Male,3,0
47,65595,712,15184,0.52,Female,28,0
33,48518,708,17895,0.23,Female,11,0
65,69392,679,11119,0.35,Female,25,0
53,68759,688,12515,0.61,Female,10,1
26,67314,677,27451,0.46,Male,21,0
44,41862,625,28900,0.43,Male,8,0
39,51221,798,10101,0.7,Male,26,0
36,81503,732,24754,0.67,Male,0,0
60,49683,706,14080,0.38,Male,17,1
48,83549,659,16011,0.42,Female,5,0
53,51804,675,29607,0.78,Female,11,0
68,62223,621,17710,0.93,Male,27,1
61,57192,703,17644,0.39,Male,22,0
33,47327,696,6867,0.36,Male,28,0
63,47543,669,17296,0.34,Male,2,0
65,49436,681,14995,0.23,Female,0,0
45,62220,665,23672,0.44,Female,6,0
62,73356,655,15662,0.56,Female,27,0
56,61247,641,29789,0.58,Female,17,0
47,59499,628,23169,0.72,Female,11,0
58,78155,644,21576,0.15,Female,28,1
27,60620,648,25621,0.61,Female,21,0
25,51857,734,21605,0.33,Male,19,0
63,45033,649,25818,0.32,Male,15,0
65,79056,578,18821,0.81,Male,25,1
51,55059,694,19294,0.24,Female,19,0
43,51321,711,13560,0.4,Female,24,1
62,50024,728,14288,0.67,Male,6,0
30,78212,688,30403,0.68,Male,16,0
52,51405,622,23732,0.14,Female,3,1
63,74856,640,7686,0.17,Female,9,0
50,56543,710,28460,0.69,Female,5,0
59,41874,752,21003,0.96,Female,1,0
51,55012,622,13658,1.0,Female,3,0
38,59508,690,34284,0.99,Female,17,0
56,58272,652,30069,0.42,Male,0,0
22,57900,638,26043,0.32,Female,0,0
34,55170,681,21271,0.19,Male,15,0
33,48224,673,22721,0.39,Male,24,0
49,60161,578,2664,0.35,Male,12,1
32,68114,690,25987,0.62,Female,13,0
59,38061,696,21448,0.43,Female,10,0
22,79485,717,21937,0.31,Male,24,0
52,4550,651,21769,0.65,Female,19,0
33,61128,600,16251,0.39,Female,29,1
66,66991,658,12404,0.42,Male,28,0
47,50949,715,20742,0.64,Male,7,0
69,28112,676,9332,0.21,Male,27,0
61,58549,722,22253,0.8,Female,9,1
37,62545,614,11774,0.97,Female,15,1
60,42769,720,27728,0.54,Female,26,0
51,47547,692,8588,0.6,Male,6,0
54,74440,662,19650,0.45,Female,4,1
44,61765,733,20598,0.96,Female,9,0
65,37369,692,29755,0.22,Female,17,0
55,66747,630,22044,0.83,Male,24,0
68,46042,729,13492,0.69,Male,6,0
26,48378,667,12865,0.81,Female,3,1
39,62964,681,31575,0.96,Male,9,0
50,61567,636,19702,0.55,Male,29,1
27,53960,677,18446,0.36,Female,17,0
30,52436,632,14441,0.8,Female,17,0
61,56238,671,10298,0.86,Male,2,0
52,48291,681,35204,0.72,Female,12,0
54,76335,710,20507,0.86,Female,13,1
48,36462,609,11192,0.76,Female,21,1
35,56386,730,25938,0.96,Female,13,0
50,38108,731,24778,0.61,Female,0,1
57,74040,670,10005,0.44,Female,4,0
49,56365,686,15323,0.71,Female,9,0
42,44149,695,23668,0.16,Male,13,0
24,70275,684,25803,0.55,Female,18,0
40,25621,710,13903,0.8,Female,22,0
52,64213,660,5077,0.25,Male,6,0
56,77269,641,21968,0.46,Female,25,0
24,62693,701,26852,0.42,Female,14,0
47,52402,603,19533,0.4,Female,27,1
37,41367,710,17551,0.69,Male,20,0
32,76237,716,32692,0.55,Female,8,0
42,73911,640,3904,0.82,Female,26,0
37,50319,751,25789,0.15,Male,28,0
30,50720,662,26266,0.51,Male,9,0
21,77801,658,13826,0.11,Female,7,0
42,67974,647,1495,0.3,Female,8,0
46,33201,702,26063,0.8,Female,10,1
38,57064,660,22574,0.2,Female,21,0
34,56511,608,31370,0.2,Male,7,0
67,63714,697,15481,0.46,Female,25,0
49,60090,665,21396,0.8,Male,17,0
32,52309,734,6575,0.67,Female,4,1
56,62675,695,25784,0.8,Male,7,0
55,53283,693,7747,0.14,Female,1,1
32,111212,730,19704,0.61,Male,17,0
27,61840,688,11673,0.51,Male,18,0
49,59779,719,22703,0.91,Female,17,0
31,87642,647,18491,0.76,Female,19,0
53,39534,762,18174,0.48,Female,15,0
26,58350,693,19503,0.6,Male,3,0
67,45755,619,20256,0.48,Female,16,0
35,69525,686,31245,0.5,Female,5,0
52,52584,689,23776,0.67,Male,11,0
31,68701,686,14528,0.29,Male,6,0
43,67620,565,15160,0.4,Female,22,0
46,71705,652,28110,0.35,Male,13,1
54,67867,610,11433,0.82,Male,11,1
66,56639,611,20097,0.95,Male,20,1
54,39035,688,6493,0.47,Male,19,1
49,75136,651,19063,0.17,Male,1,0
24,81135,661,11175,0.18,Male,20,0
37,45931,635,14805,0.46,Female,3,0
55,71038,748,21513,0.46,Female,7,0
33,42444,681,24841,0.23,Female,9,0
61,63051,603,14280,0.83,Female,16,1
59,66141,712,28978,0.55,Female,6,0
35,53606,662,10523,0.2,Female,20,0
49,61426,739,26261,0.19,Female,9,0
49,72723,679,16659,0.5,Female,20,0
31,58358,645,27644,0.21,Male,16,0
52,49872,652,16649,0.61,Female,15,0
22,41643,659,14437,0.45,Female,24,0
67,54138,704,24874,0.93,Male,12,0
34,42379,640,23530,0.48,Male,22,0
40,54339,742,15669,0.65,Female,17,0
42,53021,698,24334,0.83,Male,26,1
31,72061,691,18941,0.37,Female,4,0
47,61102,683,21178,0.56,Male,7,1
23,98208,678,22697,0.21,Female,29,0
37,29796,616,8752,0.49,Male,26,0
64,64700,694,20021,0.44,Male,6,0
48,53226,776,8299,0.49,Female,29,0
49,45659,714,11608,0.2,Female,17,0
41,59553,701,19126,0.46,Female,22,0
67,58430,603,27820,0.88,Female,5,0
36,76167,734,18131,0.94,Female,27,0
57,61368,720,17164,0.32,Male,12,0
40,49607,738,16386,0.37,Male,23,0
26,65013,634,23137,0.11,Female,8,0
39,56555,660,11046,0.2,Male,29,0
25,43117,605,8757,0.41,Male,22,0
23,56271,601,30819,0.72,Female,29,0
21,63464,651,23313,0.36,Male,7,0
58,61084,703,14385,0.17,Female,11,0
35,64954,659,14863,0.76,Male,9,0
54,52102,646,15553,0.52,Female,6,0
55,64764,696,9555,0.57,Male,6,0
69,61801,517,17493,0.39,Male,16,0
45,61923,652,20180,0.65,Female,4,1
44,60485,696,30843,0.9,Female,9,0
32,92641,659,20846,0.6,Male,20,0
38,76651,744,25936,0.63,Female,19,0
35,64430,646,17669,0.44,Male,14,0
64,47996,650,16330,0.17,Female,12,0
36,55615,630,19950,0.49,Female,13,0
47,84236,642,26848,0.93,Male,16,0
28,51555,693,15209,0.71,Male,6,0
66,57514,720,21778,0.54,Male,23,0
45,56678,787,21560,0.66,Male,20,0
37,65518,708,19803,0.6,Male,3,0
49,53450,621,26903,0.92,Female,27,0
28,62652,742,20336,0.3,Male,8,0
35,53785,704,18873,0.9,Female,18,1
47,79717,681,19572,0.72,Female,13,1
66,49705,733,3055,0.21,Female,2,1
27,74664,798,18729,0.43,Female,28,0
23,51222,670,11478,0.49,Female,3,0
49,47193,638,18346,0.17,Female,22,0
64,49488,746,19809,0.6,Male,1,0
44,34328,812,23668,0.33,Male,7,0
23,66578,687,36111,0.51,Female,1,0
40,42540,681,30759,0.49,Male,3,0
66,54631,688,19915,0.57,Male,1,1
35,71424,702,24469,0.86,Male,29,1
45,70940,609,16796,0.8,Male,24,0
50,38525,695,21533,0.89,Male,28,0
34,64658,693,21710,0.62,Female,3,0
27,77107,690,12156,0.65,Male,20,0
37,50447,688,16313,0.49,Female,8,0
64,67703,684,6420,0.75,Female,1,0
40,42850,574,18596,0.28,Male,19,0
56,65784,643,19712,0.53,Female,21,0
29,61969,722,19416,0.74,Female,16,0
58,69917,734,11988,0.8,Male,0,0
68,68987,658,19361,0.32,Female,22,0
42,39697,632,21297,0.26,Male,5,0
22,62048,715,23692,0.36,Female,28,1
44,81793,693,22147,0.93,Male,15,0
28,27220,673,17497,0.22,Male,3,0
31,74503,723,18865,0.96,Female,4,0
33,84025,621,22046,1.0,Female,4,0
37,37730,738,16604,0.81,Female,8,1
28,49939,604,13175,0.78,Female,4,1
41,67766,638,16973,0.96,Male,1,0
38,46708,627,23094,0.36,Male,6,0
50,80468,650,25772,0.22,Female,14,0
38,75883,695,27456,0.84,Male,25,0
66,39225,713,13215,0.25,Female,24,0
67,48854,675,35400,0.14,Female,22,1
51,71547,616,14344,0.28,Male,7,1
58,70959,579,18183,0.49,Female,28,0
52,93276,722,29518,0.55,Male,25,0
31,46801,716,6667,0.16,Male,2,1
65,81888,733,21044,0.5,Male,10,0
45,46291,673,17695,0.64,Male,28,0
53,67504,713,8839,0.94,Male,24,0
58,73385,648,8958,0.3,Male,22,0
61,15091,704,28977,0.29,Male,9,0
28,73668,656,24128,0.45,Female,3,0
31,80768,639,27586,0.99,Male,11,0
42,76438,691,11681,0.4,Female,25,0
44,90800,688,22302,0.14,Male,12,0
61,74477,725,38060,0.34,Female,6,0
37,51941,615,18103,0.6,Male,18,0
32,78585,726,20403,0.47,Male,26,0
66,51090,686,20088,0.8,Male,15,0
52,61236,733,19125,0.65,Female,9,0
35,72476,732,13764,0.6,Female,29,0
36,66721,558,20350,0.39,Male,6,0
42,80266,732,33021,0.6,Female,2,1
48,97330,734,19596,0.65,Male,1,1
40,42939,617,29768,0.26,Female,0,0
53,55074,601,42849,0.76,Female,26,1
30,64745,718,13491,0.45,Male,21,0
60,53052,685,24322,0.77,Male,15,1
52,58864,647,10685,0.26,Female,12,0
53,71637,751,18874,0.69,Female,29,1
22,69643,695,39960,0.12,Female,2,0
53,63709,575,25175,0.24,Male,25,1
53,62215,629,22451,0.9,Female,27,1
61,56641,732,10538,0.52,Male,26,0
33,81067,681,15159,0.56,Female,13,0
50,84950,644,13316,0.92,Female,17,0
53,75282,702,11761,0.54,Male,10,0
33,42759,649,26630,0.69,Male,18,0
46,56066,617,25518,0.3,Male,23,0
42,62994,730,18681,0.17,Female,2,0
59,45889,738,15628,0.42,Female,19,1
22,61186,704,25809,0.82,Female,1,0
58,60333,603,33476,0.5,Male,23,0
59,76262,772,27930,0.25,Male,5,0
46,52525,770,20874,0.59,Male,24,0
66,77449,743,27376,0.34,Female,29,0
35,45639,695,27745,0.95,Female,23,0
54,47732,684,21221,0.62,Female,28,0
62,54309,701,21214,0.98,Male,3,0
64,60718,622,15777,0.14,Female,28,0
69,23752,652,26628,0.11,Male,12,0
60,66889,650,18651,0.53,Female,7,0
31,85640,710,12166,0.88,Male,14,0
23,69769,692,12443,0.57,Female,0,0
26,56839,632,19677,0.89,Female,26,0
29,43731,600,12437,0.22,Male,24,0
26,32804,697,41757,0.73,Male,15,0
29,35354,626,23900,0.69,Male,20,0
59,58037,617,16050,0.59,Male,19,0
51,91603,784,21472,0.46,Female,4,0
52,19243,795,25886,0.68,Male,12,0
61,70503,657,21742,0.6,Female,16,0
32,49834,588,12317,0.35,Female,1,0
28,54967,740,19120,0.19,Female,12,0
28,45934,696,18082,0.45,Male,1,0
48,39488,718,16363,0.56,Male,10,0
40,61884,648,13370,0.56,Male,28,0
67,63942,628,27004,0.48,Male,14,0
27,70025,668,23768,0.39,Male,8,0
31,34721,688,23705,0.42,Male,21,0
40,73109,643,5180,0.34,Male,18,0
36,73377,744,16809,0.62,Male,3,0
24,66367,593,29998,0.86,Female,28,0
26,53685,700,23144,0.89,Female,16,0
42,64626,686,10690,0.99,Male,14,0
46,57593,740,33335,0.18,Female,6,0
23,74527,632,605,0.29,Male,22,0
61,54501,715,21020,0.76,Male,12,0
62,61620,703,33725,0.68,Male,7,0
34,33925,692,7455,0.22,Female,0,0
31,64579,635,16188,0.67,Male,8,0
38,48756,641,8752,0.47,Female,17,0
32,67686,665,31292,0.96,Female,28,1
43,71826,654,13446,0.87,Male,16,1
32,50850,743,27953,0.17,Female,16,0
33,60467,686,31111,0.18,Female,7,0
45,62617,719,9719,0.48,Male,2,0
65,65520,607,8035,0.11,Male,28,0
39,71847,587,23833,0.18,Male,21,0
66,69885,671,26204,0.94,Male,21,0
56,54301,616,19435,0.81,Male,10,0
65,83974,681,20204,0.71,Female,1,0
28,71279,637,31838,0.85,Female,1,0
49,81077,695,18080,0.33,Female,15,0
52,65200,640,31011,0.75,Female,16,1
64,66087,708,15389,0.65,Female,8,0
38,58242,635,39180,0.86,Male,0,1
26,53343,586,12921,0.35,Female,28,0
38,74630,722,29473,0.79,Male,28,0
39,63968,641,12268,0.87,Female,21,0
42,58026,748,26292,0.59,Female,11,0
57,44660,647,19938,0.47,Female,24,1
52,83326,638,22223,0.95,Male,5,0
61,61689,665,25325,0.25,Female,10,0
23,41599,651,21967,0.13,Male,5,0
48,61221,686,21262,0.26,Female,19,0
30,56986,700,5135,0.72,Female,4,0
55,56370,707,31028,0.81,Male,12,0
49,68643,675,32232,0.75,Male,0,0
35,57006,604,19147,0.48,Female,15,0
53,55417,766,24456,0.97,Female,18,0
27,80436,661,30927,0.5,Female,10,0
32,33906,658,24810,0.98,Female,21,1
69,59229,675,15747,0.93,Male,1,0
50,73932,666,10391,0.47,Female,0,0
41,69403,592,25075,0.24,Male,12,0
51,75300,708,21112,0.18,Male,16,0
44,90323,638,19956,0.58,Female,13,0
40,85484,663,13905,0.79,Male,16,0
57,42666,767,17272,0.26,Female,25,0
24,35839,727,22693,0.39,Female,9,0
48,64902,760,17644,0.67,Male,27,1
64,39688,646,20262,0.51,Male,16,1
40,31102,716,19751,0.64,Female,12,0
44,64743,700,25258,0.71,Female,5,1
69,68505,677,8508,0.44,Male,29,0
52,85667,642,17151,0.81,Male,25,0
61,71526,734,11185,0.73,Male,3,0
56,88793,654,21244,0.72,Female,3,0
54,65333,686,13519,0.23,Female,13,0
56,42955,725,27515,0.53,Male,3,1
22,72332,631,16710,0.62,Female,23,0
35,80014,625,15390,0.3,Female,22,0
54,65866,805,13333,0.78,Male,4,0
56,81758,636,22008,0.21,Male,13,0
26,58151,760,9845,0.23,Male,14,0
59,68188,677,19255,0.47,Female,22,0
62,57385,658,19069,0.22,Female,7,0
32,95685,663,15823,0.11,Male,25,0
23,72618,676,21751,0.47,Female,23,1
65,43249,746,16296,0.68,Female,10,0
38,87788,717,22276,0.55,Male,6,0
60,49002,669,15640,0.15,Male,22,0
41,60205,586,14049,0.31,Female,12,0
35,67024,681,22046,0.57,Female,13,0
53,68249,686,26456,0.76,Female,8,1
55,67255,742,42853,0.81,Male,26,0
46,43004,606,17277,0.57,Female,14,0
28,67305,655,26178,0.68,Female,20,1
56,76509,653,16443,0.91,Female,7,1
68,76077,677,26050,0.16,Male,1,0
50,40472,684,30416,0.19,Female,11,0
43,50165,701,21029,0.51,Female,15,0
62,44332,585,25691,0.65,Female,28,1
64,65097,688,23559,0.1,Male,7,0
34,36725,692,20088,0.51,Male,0,0
34,43158,683,16584,0.26,Female,24,0
22,50022,671,17195,0.68,Female,16,1
57,33048,509,9418,0.34,Male,29,0
25,59583,708,28301,0.91,Female,23,0
58,28402,631,34970,0.16,Female,18,0
65,67280,710,8721,0.83,Male,29,0
61,54044,742,28304,0.45,Male,19,0
67,50640,596,19644,0.87,Female,28,0
34,53088,709,14880,0.83,Male,26,0
59,59094,618,21145,0.32,Female,12,0
45,68892,677,13575,0.15,Male,25,0
40,79756,673,21873,0.73,Male,22,0
22,75208,717,17650,0.28,Female,14,0
59,93475,710,17250,0.94,Male,25,0
26,70129,693,29413,0.16,Male,12,0
37,62104,597,6000,0.39,Female,2,1
45,53144,554,15458,0.11,Female,15,1
48,53643,725,4162,0.39,Female,8,0
22,68085,717,21047,0.59,Female,18,0
55,45008,630,16040,0.69,Male,7,1
57,63434,697,14227,0.75,Female,7,0
25,59717,669,22262,0.85,Female,13,0
21,49078,734,24893,0.2,Male,18,0
60,44232,684,29461,0.79,Female,12,0
32,97870,725,43446,0.35,Male,2,0
56,39051,649,15444,0.22,Male,25,0
65,58983,694,14602,0.34,Male,4,0
43,78338,659,20036,0.87,Male,7,0
67,67935,649,20696,0.66,Female,5,0
51,52896,563,33867,0.64,Male,4,0
31,42117,726,24173,0.63,Female,20,0
30,61946,767,12445,0.47,Female,26,0
23,20407,610,11994,0.48,Male,11,0
34,62548,714,25450,0.23,Male,5,0
36,60522,712,18338,0.4,Female,7,0
30,76051,654,31326,0.56,Male,21,1
49,42849,643,24123,0.65,Male,22,0
30,55147,739,11643,0.16,Female,24,0
32,66553,733,10593,0.4,Male,6,0
50,63083,702,22760,0.41,Female,13,0
61,39860,654,17267,0.56,Male,8,0
21,50287,734,29115,0.74,Male,25,0
25,80998,638,22715,0.67,Female,28,1
40,63889,751,22556,0.61,Male,16,0
28,35038,761,10166,0.36,Female,18,0
63,73248,739,16182,0.86,Male,5,0
32,36011,697,19622,0.81,Female,18,1
21,55394,552,5004,0.27,Male,26,0
40,68449,670,24984,0.69,Female,29,1
48,78205,768,26828,0.92,Female,17,0
63,24931,726,15764,0.49,Male,20,0
57,70673,701,30148,0.93,Female,0,0
67,72925,645,29797,0.12,Female,4,0
57,51644,731,24190,0.56,Male,12,0
32,61363,601,19513,0.33,Male,10,0
57,14220,671,27966,0.34,Female,23,1
69,18780,766,8078,0.89,Female,8,0
69,76627,639,20598,0.38,Female,9,0
64,51916,710,13245,0.12,Male,28,0
48,54806,592,14697,0.59,Male,21,0
67,63520,647,23599,0.97,Female,19,1
35,54511,688,13565,0.17,Male,18,0
26,53119,697,7757,0.36,Female,23,1
64,65917,783,37763,0.52,Male,27,1
40,37566,654,15164,0.85,Male,1,0
34,77398,709,13248,0.34,Female,7,0
22,56546,708,29554,0.41,Male,22,0
29,44915,650,15183,0.45,Male,17,0
57,42896,727,9842,0.44,Male,17,0
40,60639,713,12676,0.28,Female,1,0
46,55404,666,16550,0.92,Male,14,0
49,36767,689,11433,0.81,Female,16,1
21,50972,632,13336,0.98,Male,22,0
55,47862,635,16420,0.43,Female,23,0
26,78927,678,27772,0.14,Male,22,0
57,61956,717,36577,0.2,Male,14,0
25,83540,663,28871,0.42,Male,19,0
53,49350,649,18177,0.92,Female,26,0
69,55633,668,8715,0.98,Male,14,0
34,65798,721,25611,0.84,Female,27,0
32,69061,612,11814,0.31,Female,24,1
62,70814,723,17044,0.69,Female,12,0
40,46682,705,32927,0.64,Male,17,0
44,47104,612,33635,0.84,Male,20,1
63,54668,668,21425,0.56,Male,14,0
54,82213,711,29815,0.39,Male,17,0
45,44989,584,29532,0.12,Female,18,0
49,52096,628,25259,0.82,Female,17,0
59,70947,603,17828,0.58,Male,23,0
51,70145,651,15554,0.58,Female,14,0
67,68331,731,20355,0.96,Female,9,1
63,61212,719,9734,0.54,Female,29,0
43,44022,654,16182,0.38,Male,28,0
64,49638,731,24786,0.41,Female,21,0
58,76897,713,14960,0.11,Male,20,0
40,71604,743,32356,0.21,Male,20,0
43,39975,675,21969,0.14,Male,15,0
65,73041,706,26261,0.32,Female,8,0
36,79631,848,18295,0.16,Female,1,0
62,60807,664,25054,0.4,Male,12,0
28,66394,676,10965,0.21,Female,0,0
41,75172,672,23385,0.93,Male,21,1
21,49564,675,24135,0.94,Male,23,1
28,94943,707,30265,0.64,Male,7,0
49,78346,682,3944,0.82,Male,5,0
52,67860,611,14627,0.71,Female,18,0
58,59482,680,5759,0.83,Male,18,0
25,67421,653,13283,0.68,Male,1,0
67,36595,593,19142,0.49,Female,28,0
42,91231,737,24720,0.89,Female,17,0
67,76933,653,37974,0.49,Female,17,0
54,81960,699,30803,0.46,Male,22,0
21,60461,522,16098,0.66,Male,14,1
46,54595,704,25766,0.94,Male,25,1
63,49885,664,29801,0.5,Female,24,1
30,72203,602,19201,0.62,Male,25,0
50,52311,652,19492,0.54,Female,29,1
38,57189,645,18163,0.92,Female,15,1
37,68195,717,23865,0.71,Male,26,0
46,50110,684,23308,0.48,Male,12,0
28,75659,603,21136,0.65,Female,22,0
67,59733,701,33898,0.24,Female,27,0
60,37378,576,28028,0.41,Female,23,1
69,49949,623,7044,0.76,Male,27,0
32,79622,680,5611,0.61,Female,27,0
47,45944,648,23338,0.38,Female,4,0
28,73411,739,19188,0.43,Male,17,0
45,61825,688,6000,0.83,Female,29,0
66,57424,711,4799,0.59,Male,23,0
24,97688,713,18006,0.31,Female,4,0
53,40736,657,22055,0.37,Female,15,0
21,48897,626,22351,0.52,Male,28,0
39,59648,677,15153,0.79,Male,29,1
51,96236,723,15543,1.0,Female,24,0
36,59683,668,15978,0.27,Male,5,0
34,64113,709,23944,0.78,Male,28,1
68,54962,678,7765,0.66,Female,6,0
25,65379,602,20155,0.58,Female,0,0
61,55892,606,28154,0.97,Female,7,1
46,70429,758,17187,0.39,Male,6,0
48,71612,621,21282,0.26,Male,22,0
22,56488,648,23325,0.89,Female,6,1
26,43117,725,14735,0.16,Male,6,0
29,61403,620,19187,0.84,Female,26,0
53,81031,645,9598,0.63,Male,0,0
61,47600,669,23888,0.25,Female,11,0
45,65008,662,21302,0.3,Male,24,0
68,41913,631,29329,0.24,Male,22,0
33,44402,670,27022,0.75,Female,22,0
29,79505,713,29451,0.23,Male,10,0
33,70373,673,29829,0.71,Male,28,0
51,65234,647,14208,0.22,Female,15,0
61,25173,727,23836,0.82,Female,27,0
31,51706,765,25395,0.93,Female,0,0
24,69102,727,15010,0.6,Male,5,0
54,38264,623,29865,0.97,Male,25,1
58,54691,625,19130,0.45,Male,23,0
66,71499,701,25117,0.32,Female,29,0
24,37332,688,28827,0.26,Female,4,0
58,34810,618,23423,0.53,Female,11,0
39,37592,694,34511,0.22,Male,27,0
26,65017,684,39346,0.89,Female,16,1
54,51645,753,20143,0.81,Male,12,0
38,73170,658,27658,0.61,Male,4,0
33,61815,749,38948,0.75,Male,14,0
61,88208,751,15059,0.14,Female,1,0
43,41437,646,-2298,0.28,Male,1,0
39,64976,697,27709,0.66,Male,19,0
65,48071,669,16910,0.53,Female,29,0
31,69003,667,10379,0.64,Female,15,0
21,61799,692,14299,0.18,Female,11,0
44,45103,640,7517,0.69,Female,26,0
27,57642,600,33590,0.82,Male,3,0
45,61096,653,31630,0.59,Male,25,0
41,51010,739,18161,0.42,Female,22,0
35,70907,669,18843,0.26,Male,8,1
21,44533,678,21563,0.34,Female,26,0
32,91365,719,33379,0.57,Male,11,0
27,74305,600,11517,0.33,Female,1,0
35,65231,701,18674,0.8,Female,7,1
41,102679,763,29982,0.22,Male,13,0
39,55360,684,17322,0.56,Male,23,0
49,69170,583,13316,0.55,Male,10,0
45,63340,676,21330,0.23,Male,7,0
53,71962,710,5736,1.0,Female,8,0
69,82441,685,22972,0.84,Male,24,1
52,68234,693,17981,0.45,Male,29,0
69,75626,699,25087,0.72,Female,25,0
55,51744,633,14444,0.74,Male,6,0
64,56907,639,23620,0.69,Female,20,0
58,84574,661,21686,0.49,Male,22,0
46,68952,699,10553,0.9,Male,13,0
31,63724,620,12445,0.79,Female,6,0
55,48701,782,29835,0.59,Female,25,0
28,74498,558,27662,0.1,Female,9,0
66,48278,594,6159,0.3,Female,6,0
34,43857,707,16516,0.56,Male,23,1
30,61723,703,22525,0.91,Male,14,0
22,23962,676,24263,0.67,Male,17,0
66,69166,713,22198,0.48,Male,12,0
29,65654,708,23032,0.14,Female,3,0
23,54707,680,17121,0.64,Female,11,1
41,56068,693,21392,0.42,Female,24,1
46,58210,522,12164,0.58,Female,19,1
28,48163,673,17063,0.79,Male,17,0
68,62768,677,3322,0.82,Male,6,0
22,56259,775,11544,0.88,Female,21,1
26,61686,638,12959,0.67,Male,3,0
48,57664,678,13358,0.92,Female,28,0
49,54712,751,25832,0.72,Male,23,0
46,64177,708,7420,0.81,Female,21,0
45,71716,681,14889,0.72,Male,7,0
32,52128,728,25153,0.88,Male,19,0
25,65932,640,9401,0.3,Male,17,0
54,67791,766,30150,0.78,Female,27,0
68,40742,712,21428,0.21,Female,5,0
57,74648,598,25513,0.18,Female,8,0
35,90846,649,12444,0.54,Male,11,0
64,58678,572,13920,0.37,Male,8,0
56,57432,719,18859,0.61,Male,14,0
35,56804,708,26493,0.71,Male,26,0
63,69309,656,26253,0.3,Male,12,0
68,67661,740,23177,0.73,Male,24,0
43,36140,675,18250,1.0,Male,29,0
26,47008,811,13844,0.78,Female,2,0
66,67609,620,28408,0.26,Female,2,0
64,57824,712,17169,0.67,Female,25,1
63,42508,660,7673,0.11,Female,18,0
65,82503,646,12312,0.52,Male,20,1
41,48004,671,14371,0.58,Male,20,0
43,60536,698,17260,0.98,Female,12,0
63,57427,682,19417,0.76,Male,20,0
36,43819,713,9054,0.74,Male,23,0
67,62774,710,16123,0.58,Male,25,0
35,65881,752,17140,0.56,Female,11,0
45,52984,619,18385,0.99,Female,23,0
56,54957,602,13774,0.12,Male,29,0
31,69007,676,39778,0.37,Female,23,0
35,30372,640,17151,0.22,Male,29,0
24,47324,723,15237,0.38,Male,24,0
41,63201,626,11216,0.52,Female,25,0
33,52098,652,26101,0.41,Female,5,0
42,51884,663,5159,0.97,Male,17,1
39,73525,768,5769,0.71,Male,8,0
54,50500,785,19731,0.76,Male,21,0
34,89687,622,23721,0.77,Male,16,0
24,33682,570,19288,0.91,Female,27,0
68,26820,651,36234,0.79,Female,11,1
66,73184,678,15841,0.11,Female,20,1
47,45240,677,17575,0.34,Female,22,0
49,45493,675,19676,0.99,Male,29,1
67,74770,720,20334,0.69,Male,27,0
48,52540,659,19013,0.16,Female,27,0
55,73655,690,18610,0.52,Male,16,0
